,source_id,target_id,distancia_hidraulica,distancia_euclidea,tipo_relacion,detalle_rio
247,AV-0167/2008,C344,,46217.63,ASIGNADO_TEORICO,NO_MAPEAR
248,AV-0027/2021,C310,,41992.21,ASIGNADO_TEORICO,NO_MAPEAR
249,AV-0021/2021,C310,,41914.69,ASIGNADO_TEORICO,NO_MAPEAR
250,AV-0051/2022,C310,,44486.47,ASIGNADO_TEORICO,NO_MAPEAR
251,AV-0023/2021,C310,,40761.57,ASIGNADO_TEORICO,NO_MAPEAR
252,AV-0089/2005,C313,,31964.62,ASIGNADO_TEORICO,NO_MAPEAR
253,AV-0035/1997,C313,,31950.94,ASIGNADO_TEORICO,NO_MAPEAR
254,AV-0079/2005,C313,,32681.86,ASIGNADO_TEORICO,NO_MAPEAR
255,AV-0036/1997,C313,,30626.56,ASIGNADO_TEORICO,NO_MAPEAR
256,AV-0072/2021,C313,,31987.3,ASIGNADO_TEORICO,NO_MAPEAR
257,AV-0083/2004,C313,,30722.0,ASIGNADO_TEORICO,NO_MAPEAR
258,AV-0152/2005,C313,,32042.32,ASIGNADO_TEORICO,NO_MAPEAR
259,AV-0151/2005,C313,,32107.63,ASIGNADO_TEORICO,NO_MAPEAR
260,AV-0037/2020,C313,,31632.09,ASIGNADO_TEORICO,NO_MAPEAR
261,AV-0050/2023,C313,,33499.93,ASIGNADO_TEORICO,NO_MAPEAR
262,AV-0051/2014,C313,,30213.31,ASIGNADO_TEORICO,NO_MAPEAR
263,AV-0147/2005,C313,,30541.85,ASIGNADO_TEORICO,NO_MAPEAR
264,AV-0051/2016,C313,,28161.1,ASIGNADO_TEORICO,NO_MAPEAR
265,AV-0141/2005,C313,,29973.17,ASIGNADO_TEORICO,NO_MAPEAR
266,AV-0058/2014,C313,,30926.34,ASIGNADO_TEORICO,NO_MAPEAR
267,AV-0117/2009,C313,,31856.14,ASIGNADO_TEORICO,NO_MAPEAR
268,AV-0084/2005,C313,,31290.35,ASIGNADO_TEORICO,NO_MAPEAR
269,AV-0108/2009,C326,,24250.99,ASIGNADO_TEORICO,NO_MAPEAR
270,AV-0054/2013,C342,,21694.83,ASIGNADO_TEORICO,NO_MAPEAR
271,AV-0094/2021,C342,,22438.17,ASIGNADO_TEORICO,NO_MAPEAR
272,AV-0165/2008,C342,,21960.48,ASIGNADO_TEORICO,NO_MAPEAR
273,AV-0112/2009,C313,,56168.43,ASIGNADO_TEORICO,NO_MAPEAR
274,AV-0108/2006,C313,,31440.11,ASIGNADO_TEORICO,NO_MAPEAR
275,AV-0052/2013,C313,,29327.03,ASIGNADO_TEORICO,NO_MAPEAR
276,AV-0150/2008,C313,,29422.15,ASIGNADO_TEORICO,NO_MAPEAR
277,AV-0104/2009,C313,,31189.79,ASIGNADO_TEORICO,NO_MAPEAR
278,AV-0036/2018,C313,,30728.86,ASIGNADO_TEORICO,NO_MAPEAR
279,AV-0076/2005,C313,,27815.06,ASIGNADO_TEORICO,NO_MAPEAR
280,AV-0047/2016,C310,,38846.23,ASIGNADO_TEORICO,NO_MAPEAR
281,AV-0050/2013,C310,,40145.58,ASIGNADO_TEORICO,NO_MAPEAR
282,AV-0037/2016,C310,,38546.32,ASIGNADO_TEORICO,NO_MAPEAR
283,AV-0379/1990,C310,,41369.38,ASIGNADO_TEORICO,NO_MAPEAR
284,AV-0050/2016,C310,,38544.96,ASIGNADO_TEORICO,NO_MAPEAR
285,AV-0052/2016,C310,,38372.29,ASIGNADO_TEORICO,NO_MAPEAR
286,AV-0186/2008,C326,,18333.63,ASIGNADO_TEORICO,NO_MAPEAR
287,AV-0052/2023,C326,,20393.86,ASIGNADO_TEORICO,NO_MAPEAR
288,AV-0040/2015,C326,,20231.3,ASIGNADO_TEORICO,NO_MAPEAR
289,AV-0110/2009,C326,,21279.82,ASIGNADO_TEORICO,NO_MAPEAR
290,AV-0046/2012,C326,,18269.45,ASIGNADO_TEORICO,NO_MAPEAR
291,AV-0039/1998,C310,,39128.72,ASIGNADO_TEORICO,NO_MAPEAR
292,AV-0658/1987,C310,,40511.56,ASIGNADO_TEORICO,NO_MAPEAR
